,City,Place,Num_of_Rating,PlaceID,CityID
268,New Delhi,National Handicrafts and Handlooms Museum,24,1815,22
269,New Delhi,National Philatelic Museum,22,1821,22
270,New Delhi,National Rail Museum,666,1823,22
271,New Delhi,National Police Museum,7,1822,22
272,New Delhi,National Science Centre,130,1825,22
273,New Delhi,National School of Drama,10,1824,22
274,New Delhi,National War Memorial,5,1827,22
275,New Delhi,National Spiritual Assembly of The Baha'is of India,3,1826,22
276,New Delhi,National Zoological Park of Delhi,496,1829,22
277,New Delhi,Nehru Memorial Museum,30,1854,22
278,New Delhi,Neel Kanth Mall,4,1844,22
279,New Delhi,Nehru Museum & Planetarium (Teen Murti Bhavan),149,1855,22
280,New Delhi,Nehru Park,246,1856,22
281,New Delhi,Nehru Place,33,1857,22
282,New Delhi,New Kashmir Art Gallery,13,1870,22
283,New Delhi,New Delhi Kali Bari,5,1869,22
284,New Delhi,North Ex Mall,14,1898,22
285,New Delhi,New Modantique,1,1872,22
286,New Delhi,Nicholson Cemetery.,2,1878,22
287,New Delhi,Nila Gumbad,5,1880,22
288,New Delhi,Nizamuddin Baoli,4,1895,22
289,New Delhi,Nilli Masjid,4,1884,22
290,New Delhi,Nizamuddin Markaz,3,1896,22
291,New Delhi,OddBird Theatre,1,1909,22
292,New Delhi,Pacific Mall,191,1939,22
293,New Delhi,Ojas Art,2,1912,22
294,New Delhi,Old Secretariat,6,1918,22
295,New Delhi,"Oshodham, Osho Dhyan Mandir",17,1930,22
296,New Delhi,Paharganj,274,1946,22
297,New Delhi,Parliament House,424,1985,22
298,New Delhi,Pallete Art Gallery,1,1953,22
299,New Delhi,Pinnacle Mall,11,2025,22
300,New Delhi,Pragati Maidan,37,2051,22
301,New Delhi,Parliament Museum,9,1986,22
302,New Delhi,Pracheen Bhagwan Valmiki Mandir,6,2047,22
303,New Delhi,Purana Qila,448,2081,22
304,New Delhi,Prachin Bhairon Mandir,1,2048,22
305,New Delhi,Purana Qila Baoli,9,2082,22
306,New Delhi,Qila Rai Pithora,23,2089,22
307,New Delhi,Qutub Minar,10358,2097,22
308,New Delhi,Qudasia Park,3,2091,22
309,New Delhi,Qutbuddin Bakhtiar Kaki,6,2096,22
310,New Delhi,Quwwat-ul-Islam Mosque,24,2098,22
311,New Delhi,R.K. Khanna Tennis Complex,12,2103,22
312,New Delhi,Raj Ghat,1045,2129,22
313,New Delhi,Rahim Khane Khanam Tomb,3,2122,22
314,New Delhi,Raghuraj Economy Mall,3,2118,22
315,New Delhi,Rajon Ki Baoli,38,2151,22
316,New Delhi,Rajpath,1211,2152,22
317,New Delhi,Rama Krishna Ashram,13,2159,22
318,New Delhi,Ramakrishna Mission,52,2163,22
319,New Delhi,Rashtrapati Bhavan,1557,2192,22
320,New Delhi,Rashtrapati Bhavan Museum Complex,13,2193,22
321,New Delhi,Red Fort (Lal Quila),4260,2207,22
322,New Delhi,Ravindra Art Palace,2,2200,22
323,New Delhi,Sacred Heart Cathedral,32,2258,22
324,New Delhi,Relics of Buddha at National Museum,10,2214,22
325,New Delhi,Safdarjung's Tomb,327,2261,22
326,New Delhi,Roshnara Bagh and Tomb,1,2241,22
327,New Delhi,Sabz Burj,4,2257,22
328,New Delhi,RG Mall,4,2105,22
329,New Delhi,Sai Baba Temple,235,2270,22
330,New Delhi,Saffron Travels,1,2262,22
331,New Delhi,Sanajay Lake,13,2296,22
332,New Delhi,Sangam Courtyard,47,2301,22
333,New Delhi,Sanjay Van,14,2308,22
334,New Delhi,Salimgarh Fort,10,2282,22
335,New Delhi,Sarojini Nagar Market,396,2336,22
336,New Delhi,Sanskriti Museum of Everyday Art,27,2315,22
337,New Delhi,Sangeet Natak Akademi,3,2302,22
338,New Delhi,Select Citywalk,1016,2361,22
339,New Delhi,Satpula,5,2342,22
340,New Delhi,Seven Seas International Inc.,1,2368,22
341,New Delhi,Shakti Sthal,10,2383,22
342,New Delhi,Shah Alam's Tomb,7,2374,22
343,New Delhi,Shah Burj,101,2375,22
344,New Delhi,Shankar's International Dolls Museum,154,2388,22
345,New Delhi,Shanti Van,19,2395,22
346,New Delhi,Sher Mandal,11,2406,22
347,New Delhi,Shanta Art Gallery,1,2391,22
348,New Delhi,Sheikh Yusuf Qattal's Tomb,8,2402,22
349,New Delhi,Shri Kalkaji Mandir Temple,122,2473,22
350,New Delhi,Shirdi Sai Temple,2,2417,22
351,New Delhi,Shivaji Stadium,7,2425,22
352,New Delhi,Shri Ganesh Mandir,1,2467,22
353,New Delhi,Siri Fort,29,2519,22
354,New Delhi,South Extension Market,48,2548,22
355,New Delhi,Shri Lakshmi Narain Temple,8,2477,22
356,New Delhi,Shri Shiv Shakti Hanuman Mandir,3,2489,22
357,New Delhi,Shri Subha Siddhi Vinayaka Mandir,6,2490,22
358,New Delhi,Splash The Water Park,13,2553,22
359,New Delhi,Soul City Mall,9,2546,22
360,New Delhi,Sri Digambar Jain Lal Mandir,106,2572,22
361,New Delhi,Sri Devi Kamakshi Mandir,3,2571,22
362,New Delhi,Square One Mall,1,2556,22
363,New Delhi,Star City Mall,15,2646,22
364,New Delhi,St Peters Jacobite Syrian Orthodox Cathedral,1,2616,22
365,New Delhi,"St Martin's Church, Delhi Cantt",2,2613,22
366,New Delhi,Sulabh International Museum of Toilets,81,2672,22
367,New Delhi,Studio 55,1,2663,22
368,New Delhi,St. Stephen's Church,245,2640,22
369,New Delhi,Sunder Nursery,103,2681,22
370,New Delhi,Sultan Ghari Tomb,10,2673,22
371,New Delhi,Swaminarayan Akshardham,9770,2705,22
372,New Delhi,Sunehri Masjid,3,2682,22
373,New Delhi,Swarn Jayanti Park,26,2708,22
374,New Delhi,Talkatora Garden,33,2728,22
375,New Delhi,Talkatora Indoor Stadium,20,2729,22
376,New Delhi,Swatantra Sangrama Sangrahalaya,7,2710,22
377,New Delhi,Swatantrata Senani Museum,5,2711,22
378,New Delhi,The Chanakya,73,2766,22
379,New Delhi,Thyagaraj Sports Complex,21,2824,22
380,New Delhi,The Colonnade,3,2770,22
381,New Delhi,Tibet House,12,2825,22
382,New Delhi,The Philosophical,1,2791,22
383,New Delhi,The Sun Dial,1,2801,22
384,New Delhi,The Village Gallery,2,2804,22
385,New Delhi,Tomb of Adham Khan,10,2844,22
386,New Delhi,Tomb of Alauddin Khilji,7,2845,22
387,New Delhi,Tomb of Balban,12,2850,22
388,New Delhi,Tomb of Amir Khusro,3,2846,22
389,New Delhi,Tomb of Imam Zamin,18,2851,22
390,New Delhi,Tomb of Atgah Khan,1,2847,22
391,New Delhi,Tomb of Azim Khan,7,2848,22
392,New Delhi,Tomb of Bahlol Lodi,3,2849,22
393,New Delhi,Tughlaqabad Fort,111,2879,22
394,New Delhi,Tomb of Razia Sultan,3,2856,22
395,New Delhi,Tumble House,19,2885,22
396,New Delhi,Unity One,34,2903,22
397,New Delhi,Unity One Metro Mall,5,2904,22
398,New Delhi,V3S Mall,46,2913,22
399,New Delhi,Urbanroots Premium Fashion Store,1,2909,22
400,New Delhi,Uttara Guruvayurappan Temple,1,2911,22
401,New Delhi,Vasant Square Mall,27,2927,22
402,New Delhi,Vedic Expo,21,2934,22
403,New Delhi,Vernssage Art Gallery,41,2941,22
404,New Delhi,Vadhera Art Gallery,2,2915,22
405,New Delhi,Vijay Chowk,62,2952,22
406,New Delhi,Vijay Ghat,14,2953,22
407,New Delhi,Vishwa Shanti Stupa,17,2970,22
408,New Delhi,Vir Bhumi,7,2963,22
409,New Delhi,Vikas Surya Mall,3,2956,22
410,New Delhi,Waste to Wonder Park,24,2988,22
411,New Delhi,Vishal Mega Mart,1,2966,22
412,New Delhi,Waste to Wonders,32,2989,22
413,New Delhi,Wall Of Truth,3,2985,22
414,New Delhi,West Gate Mall,23,2998,22
415,New Delhi,Weekend Book Market,21,2995,22
416,New Delhi,Yamuna Sports Complex,28,3023,22
417,New Delhi,Western Court Building,13,3001,22
418,New Delhi,Yogmaya Temple,12,3034,22
419,New Delhi,Yamuna Biodiversity Park,5,3022,22
420,New Delhi,Wrapd,1,3017,22
421,New Delhi,Zafar Mahal,11,3037,22
422,New Delhi,Yogoda Satsanga Dhyana Kendra,2,3035,22
423,New Delhi,Zakir Hussain Museum,1,3038,22
424,Agra,Agra Art Gallery,93,38,0
425,Agra,Agra Fort,8570,39,0
426,Agra,Agra Fort Railway Station,1,40,0
427,Agra,Anguri Bagh,158,113,0
428,Agra,Chini Ka Rauza Mausoleum,51,505,0
429,Agra,Army School,2,147,0
430,Agra,Bageshwarnath Temple,8,244,0
431,Agra,Balkeshwar Mandir,7,256,0
432,Agra,Ashok Cosmos Mall,5,176,0
433,Agra,Chhatri of Raja Jaswant Singh,1,496,0
434,Agra,Bateshwar Temples,8,292,0
435,Agra,Chini Ka Rauza,12,504,0
436,Agra,Dayal Bagh,156,626,0
437,Agra,CR Mall,2,416,0
438,Agra,Dakhini Darwaza,9,596,0
439,Agra,Diwan-i-Am Agra Fort,173,691,0
440,Agra,Dhakri-Ka-Mahal,2,659,0
441,Agra,Diwan E Aam,6,686,0
442,Agra,Dolphin The Water World,18,700,0
443,Agra,Gurudwara Guru ka Tal,97,949,0
444,Agra,Dr. B. R. Ambedkar University,3,709,0
445,Agra,Jahangir Mahal,117,1135,0
446,Agra,Gyarah Sidi,1,972,0
447,Agra,Jama Masjid,479,1167,0
448,Agra,Jain Muni Samadhi Stahl,1,1145,0
449,Agra,Jawab Masjid,166,1188,0
450,Agra,Jaswant ki Chatri,2,1187,0
451,Agra,Kalakriti Cultural & Convention Center,284,1257,0
452,Agra,Kailash Temple,5,1245,0
453,Agra,Keetham Lake,21,1325,0
454,Agra,Korai Village Agra,35,1373,0
455,Agra,Mariam's Tomb,25,1632,0
456,Agra,M.D College,2,1505,0
457,Agra,Mehtab Bagh,1140,1668,0
458,Agra,Mother Teresa's Missionaries of Charity,153,1718,0
459,Agra,Mina Masjid,3,1691,0
460,Agra,Motilal Nehru Park,21,1723,0
461,Agra,Mughal Heritage Walk,30,1736,0
462,Agra,New Nice Marble Art & Handicrafts,29,1873,0
463,Agra,Nand Ram Ka Tila,1,1795,0
464,Agra,National Chambal Sanctuary NCS,10,1809,0
465,Agra,Old tampale is agra Rajewar madir,12,1919,0
466,Agra,Ram Bagh,45,2156,0
467,Agra,Paliwal Park,3,1951,0
468,Agra,Prithvinath Mandir,3,2068,0
469,Agra,Rawli Maharaj Temple,11,2202,0
470,Agra,Shah Burj,101,2375,0
471,Agra,Roman Catholic Cemetery,5,2235,0
472,Agra,Saket Mall,6,2276,0
473,Agra,Samadhi Swamiji Maharaj Bagh,7,2286,0
474,Agra,Sanjay Place,7,2307,0
475,Agra,Shahin Arts,47,2382,0
476,Agra,Sheesh Mahal,406,2400,0
477,Agra,Shri Mankameshwar Mandir,46,2481,0
478,Agra,Soami Bagh,27,2532,0
479,Agra,Spiritual Museum,11,2551,0
480,Agra,Shree Jagdamba Degree College,3,2443,0
481,Agra,St. George's Cathedral,12,2627,0
482,Agra,St. George's Church,8,2628,0
483,Agra,Sur Sarovar Bird Sanctuary,32,2689,0
484,Agra,Taj Mahal,23231,2719,0
485,Agra,Taj Museum,126,2721,0
486,Agra,Tdi Mall,29,2743,0
487,Agra,Tomb of Itimad-ud-Daulah,1698,2852,0
488,Agra,Tomb of Mariam Zamani,46,2854,0
489,Agra,Wildlife SOS,1514,3007,0
490,Agra,Tomb Of John Russell Colvin,7,2843,0
491,Agra,Touseef International,3,2860,0
492,Agra,U.P Handicrafts Development Center,6,2888,0
493,Jaipur,925 Silver,11,3,9
494,Jaipur,Ajmeri Gate,32,54,9
495,Jaipur,Agape Fellowship Church,2,36,9
496,Jaipur,Akshardham Temple,155,64,9
497,Jaipur,Akbari Masjid,4,59,9
498,Jaipur,Albert Hall Museum,1310,72,9
499,Jaipur,Alice Garg National Seashells Museum,22,74,9
500,Jaipur,Amar Jawan Jyoti,28,83,9
501,Jaipur,Amber Fort Palace,27,93,9
502,Jaipur,Amba Mata Mandir,2,89,9
503,Jaipur,All Rajasthan Shilp Gram Udyog,4,75,9
504,Jaipur,Amer Elephant Safari,44,97,9
505,Jaipur,Amer jeep Safari,573,98,9
506,Jaipur,Anokhi Museum of Hand Printing,414,121,9
507,Jaipur,Angel Resort & Amusement Waterpark,13,112,9
508,Jaipur,Anchor Mall,4,106,9
509,Jaipur,Amrapali Museum,5,100,9
510,Jaipur,B M Birla Auditorium,110,215,9
511,Jaipur,Arya Square Mall,5,171,9
512,Jaipur,Apex Mall,7,131,9
513,Jaipur,Ayappa Temple,7,209,9
514,Jaipur,Birla Mandir Temple,2143,365,9
515,Jaipur,B.M. Birla Planetarium,194,217,9
516,Jaipur,Bhawani Mataji Mandir,2,337,9
517,Jaipur,Biradraj Temple,2,361,9
518,Jaipur,Carpet And Textile House,47,431,9
519,Jaipur,Brihaspati Dham Mandir,2,396,9
520,Jaipur,Central Park,229,444,9
521,Jaipur,Casa Del Elefante,8,433,9
522,Jaipur,Chand Pol (Moon Gate),41,460,9
523,Jaipur,Chandlai Lake,24,461,9
524,Jaipur,Chandra Mahal,41,463,9
525,Jaipur,Choolgiri Jain Mandir,22,518,9
526,Jaipur,City Palace of Jaipur,5140,550,9
527,Jaipur,Chulgiri Digamber Jain Temple,4,529,9
528,Jaipur,City Mall,6,548,9
529,Jaipur,Crystal Palm Mall,22,583,9
530,Jaipur,Creative Fashion India,13,573,9
531,Jaipur,Cross Road Mall,6,578,9
532,Jaipur,Crystal Mall,8,582,9
533,Jaipur,Dadavadi Mandir,4,594,9
534,Jaipur,Dargah Burhanuddin,3,609,9
535,Jaipur,"Deer Park, Ashok Vihar, Jaipur",8,630,9
536,Jaipur,Diwan-e-Aam Hall of Public Audience,94,687,9
537,Jaipur,Devdi Temple,1,654,9
538,Jaipur,Dhola Maru Art Gallery,4,669,9
539,Jaipur,Diwan-e-Am,11,688,9
