,City,Place,PlaceID,CityID,ImageUrl
25,Udaipur,Sahelion Ki Bari,158,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
26,Udaipur,Jagdish Temple,78,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
27,Udaipur,Ekling Ji Temple,50,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
28,Panjim,Deltin Royale,45,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
29,Panjim,Miramar Beach,119,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
30,Panjim,Church of Our Lady of the Immaculate Conception,33,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
31,Panjim,Reis Magos Fort,153,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
32,Panjim,Se Cathedral,161,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
33,Panjim,Shantadurga Temple,166,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
34,Panjim,Deltin Jaqk,44,24,https://images.unsplash.com/photo-1625505826533-5c80aca7d157?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80
35,Almora,Jageshwar Dham,79,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
36,Almora,Kasar Devi Temple,93,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
37,Almora,Chitai Temple,30,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
38,Almora,Zero Point,205,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
39,Almora,Katarmal Sun Temple,94,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
40,Almora,Kumaon Regimental Centre Museum,100,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
41,Almora,Nanda Devi Temple,128,2,https://images.pexels.com/photos/1107717/pexels-photo-1107717.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
42,Varanasi,Ganges River,55,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
43,Varanasi,Sarnath,160,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
44,Varanasi,Dasaswamedh Ghat,43,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
45,Varanasi,Shri Kashi Vishwanath Temple (Golden Temple),169,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
46,Varanasi,Banaras Ghats,14,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
47,Varanasi,Assi Ghat,10,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
48,Varanasi,Manikarnika Ghat,112,29,https://images.pexels.com/photos/8112531/pexels-photo-8112531.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
49,Jaisalmer,Jaisalmer Fort,82,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
50,Jaisalmer,Gadsisar Sagar Lake,53,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
51,Jaisalmer,Kothari's Patwaon-Ki-Haveli,98,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
52,Jaisalmer,Kuldhara Abandoned Village,99,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
53,Jaisalmer,Jain Temples,81,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
54,Jaisalmer,Bada Bagh,12,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
55,Jaisalmer,Tanot Mata Temple,185,10,https://images.pexels.com/photos/12912712/pexels-photo-12912712.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
56,Srinagar,Dal Lake,40,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
57,Srinagar,Shankaracharya Hill,165,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
58,Srinagar,Ghanta Ghar,57,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
59,Srinagar,Nishat Garden,132,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
60,Srinagar,Sonamarg,175,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
61,Srinagar,Nigeen Lake,130,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
62,Srinagar,Indira Gandhi Tulip Garden,77,27,https://images.pexels.com/photos/5097161/pexels-photo-5097161.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
63,Leh,Pangong Tso,138,15,https://images.pexels.com/photos/570026/pexels-photo-570026.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
64,Leh,Hall of Fame,68,15,https://images.pexels.com/photos/570026/pexels-photo-570026.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
65,Leh,Thiksey Monastery,190,15,https://images.pexels.com/photos/570026/pexels-photo-570026.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
66,Leh,Confluence of the Indus and Zanskar Rivers,37,15,https://images.pexels.com/photos/570026/pexels-photo-570026.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
67,Leh,Magnetic Hill,108,15,https://assets.traveltriangle.com/blog/wp-content/uploads/2016/11/Magnetic-hill-2.jpg
68,Leh,Gurdwara Pathar Sahib,66,15,https://images.pexels.com/photos/570026/pexels-photo-570026.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
69,Leh,Leh Royal Palace,104,15,https://images.pexels.com/photos/570026/pexels-photo-570026.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
70,Jodhpur,Mehrangarh Fort,115,11,https://www.revv.co.in/blogs/wp-content/uploads/2021/12/Mehrangarh-fort.png
71,Jodhpur,Umaid Bhawan Palace Museum,196,11,"https://media.cntraveler.com/photos/594001185fff7e434a15efbe/16:9/w_2560,c_limit/Exterior-UmaidBhawanPalaceTaj-India-CRHotel.jpg"
72,Jodhpur,Jaswant Thada,88,11,https://upload.wikimedia.org/wikipedia/commons/a/ad/Jaswant_Thada_Dawn.jpg
73,Jodhpur,Ghanta Ghar,57,11,https://media-cdn.tripadvisor.com/media/photo-s/1a/0b/33/1f/also-known-as-ghanta.jpg
74,Jodhpur,Mandore Garden,110,11,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_232090285_20191121132113_20191121132136.jpg
75,Jodhpur,Rao Jodha Desert Rock Park,151,11,https://jodhpurtourism.in/images/places-to-visit/headers/rao-jodha-desert-rock-park-jodhpur-entry-fee-timings-holidays-reviews-header.jpg
76,Jodhpur,Toorji Ka Jhalra (Toorji’s Step Well),194,11,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/8d/0e/2b/photo0jpg.jpg?w=1200&h=-1&s=1
77,Pune,Dagadusheth Halwai Ganapati Temple,38,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
78,Pune,Sinhagad Fort,170,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
79,Pune,Darshan Museum,42,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
80,Pune,Aga Khan Palace,1,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
81,Pune,Shaniwar Wada,164,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
82,Pune,Sri Balaji Mandir,177,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
83,Pune,Laxmi Road,103,26,https://images.pexels.com/photos/9404692/pexels-photo-9404692.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
84,Aurangabad,Ellora Caves,52,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
85,Aurangabad,Bibi Ka Maqbara,21,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
86,Aurangabad,Grishneshwar Jyotirlinga Temple,62,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
87,Aurangabad,Jama Masjid,85,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
88,Aurangabad,Panchakki (Water Mill),137,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
89,Aurangabad,Aurangabad Caves,11,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
90,Aurangabad,Bhadra Maruti,19,4,https://images.pexels.com/photos/4882666/pexels-photo-4882666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
91,Darjeeling,Padmaja Naidu Himalayan Zoological Park,135,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
92,Darjeeling,Tiger Hill,192,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
93,Darjeeling,Himalayan Mountaineering Institute,72,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
94,Darjeeling,Batasia Loop,16,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
95,Darjeeling,Japanese Peace Pagoda,87,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
96,Darjeeling,Kanchenjunga Mountain,90,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
97,Darjeeling,Darjeeling Himalayan Railway,41,6,https://images.pexels.com/photos/1462892/pexels-photo-1462892.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
98,Nainital,Nainital Lake,126,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
99,Nainital,Goddess Naina Devi,59,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
100,Nainital,High Altitude Zoo,71,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
101,Nainital,Eco Cave Gardens,48,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
102,Nainital,Snow View Point,171,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
103,Nainital,Mukteshwar Temple,123,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
104,Nainital,Kainchi Dham,89,21,https://images.pexels.com/photos/13682120/pexels-photo-13682120.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
105,Manali,Hidimba Devi Temple,70,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
106,Manali,Solang Valley,173,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
107,Manali,Beas River,17,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
108,Manali,Manikaran Gurudwara,111,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
109,Manali,Vashisht Baths,199,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
110,Manali,Gulaba,64,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
111,Manali,Solang Nullah,172,17,https://images.pexels.com/photos/2419865/pexels-photo-2419865.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
112,Kolkata,Victoria Memorial Hall,200,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
113,Kolkata,Dakshineswar Kali Temple,39,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
114,Kolkata,Howrah Bridge,73,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
115,Kolkata,Park Street,140,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
116,Kolkata,Eden Gardens,49,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
117,Kolkata,Mother House,122,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
118,Kolkata,Metro Railway,118,14,https://images.pexels.com/photos/12552817/pexels-photo-12552817.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
119,Munnar,Tea Gardens,186,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
120,Munnar,Top Station,195,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
121,Munnar,Rajamalai (Eravikulam) National Park,149,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
122,Munnar,Kannan Devan Tea Museum,91,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
123,Munnar,Rose Gardens,157,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
124,Munnar,Photo Point,141,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
125,Munnar,Kundala Dam Lake,101,19,https://images.pexels.com/photos/13691355/pexels-photo-13691355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
126,Bhopal,Birla Mandir,22,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
127,Bhopal,Buddhist Monuments at Sanchi,27,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
128,Bhopal,Rock Shelters of Bhimbetka,155,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
129,Bhopal,Upper Lake,197,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
130,Bhopal,Jama Masjid,85,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
131,Bhopal,Van Vihar National Park,198,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
132,Bhopal,Archaeological Museum,8,5,https://images.unsplash.com/photo-1585744945554-5df801d2b680?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80
133,Amritsar,Golden Temple,61,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
134,Amritsar,Jallianwala Bagh,84,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
135,Amritsar,Gobindgarh Fort,58,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
136,Amritsar,Durgiana Temple,47,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
137,Amritsar,Akal Takht,3,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
138,Amritsar,The Partition Museum,189,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
139,Amritsar,Mandir Mata Lal Devi,109,3,https://images.pexels.com/photos/12656948/pexels-photo-12656948.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
140,Mumbai,Gateway of India,56,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
141,Mumbai,Bandra-Worli Sea Link,15,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
142,Mumbai,Marine Drive,114,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
143,Mumbai,Shree Siddhivinayak,168,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
144,Mumbai,Chhatrapati Shivaji Terminus,29,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
145,Mumbai,Sri Sri Radha Gopinath Temple,180,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
146,Mumbai,Nariman Point,129,18,https://images.pexels.com/photos/706352/pexels-photo-706352.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
147,Kanyakumari,Vivekananda Rock Memorial,203,12,https://images.unsplash.com/photo-1605822726565-88069f152c9c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1331&q=80
148,Kanyakumari,Kanyakumari Beach,92,12,https://images.unsplash.com/photo-1605822726565-88069f152c9c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1331&q=80
149,Kanyakumari,Thiruvalluvar Statue,191,12,https://images.unsplash.com/photo-1605822726565-88069f152c9c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1331&q=80
150,Kanyakumari,Padmanabhapuram Palace,136,12,https://images.unsplash.com/photo-1605822726565-88069f152c9c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1331&q=80
151,Kanyakumari,Thanumalayan temple - Sthanumalayan Kovil,187,12,https://images.unsplash.com/photo-1605822726565-88069f152c9c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1331&q=80
152,Kanyakumari,Bhagavathy Amman Temple,20,12,https://images.unsplash.com/photo-1605822726565-88069f152c9c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1331&q=80
